trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.06, 'e': 0.9190000000000089}",20,0,-32.171046843808604,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
163,False,"{'a': 0.06, 'e': 0.918500000000009}",25,0,-173.52632959407072,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
164,False,"{'a': 0.06, 'e': 0.918000000000009}",30,0,-203.61555470021898,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
165,False,"{'a': 0.06, 'e': 0.9175000000000091}",30,0,-51.38453235111664,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
166,False,"{'a': 0.06, 'e': 0.9170000000000091}",20,0,-42.693195337797015,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
167,False,"{'a': 0.06, 'e': 0.9165000000000092}",20,0,-110.23664640074449,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
168,False,"{'a': 0.06, 'e': 0.9160000000000093}",25,0,-163.54927959325462,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
169,False,"{'a': 0.06, 'e': 0.9155000000000093}",25,0,-169.06983813984976,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
170,False,"{'a': 0.06, 'e': 0.9150000000000094}",30,0,-111.95702947215831,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
171,False,"{'a': 0.06, 'e': 0.9145000000000094}",25,0,-138.9940304510113,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
172,False,"{'a': 0.06, 'e': 0.9140000000000095}",20,0,-152.44361126568313,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
173,False,"{'a': 0.06, 'e': 0.9135000000000095}",25,0,-217.5887480810058,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
174,False,"{'a': 0.06, 'e': 0.9130000000000096}",25,0,-60.98019610424862,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
175,False,"{'a': 0.06, 'e': 0.9125000000000096}",25,0,-93.85867617582954,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
176,False,"{'a': 0.06, 'e': 0.9120000000000097}",25,0,-115.01368413927783,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
177,False,"{'a': 0.06, 'e': 0.9115000000000097}",25,0,-181.07600075396397,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
178,False,"{'a': 0.06, 'e': 0.9110000000000098}",30,0,-168.91450834585405,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
179,False,"{'a': 0.06, 'e': 0.9105000000000099}",25,0,-177.79452759511796,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
180,False,"{'a': 0.06, 'e': 0.9100000000000099}",20,0,-2.104336741983988,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.06, 'e': 0.90950000000001}",25,0,-79.61063756752573,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
